path,expected_k,expected_n,sparsity_over_weight_tensors,linear_native_2_4_exact,linear_native_2_4_convertible_exact,conv_flat_2_4_exact,conv_tensorrt_2_4_exact,expected_kn_exact,native_deployability_interpretation,linear_native_2_4_eligible_layers,linear_native_2_4_convertible_layers,linear_native_2_4_unsupported_shape_layers,linear_native_2_4_unsupported_shape_params,linear_native_2_4_bad_groups,conv_flat_2_4_eligible_layers,conv_flat_2_4_bad_groups,conv_tensorrt_2_4_eligible_layers,conv_tensorrt_2_4_bad_groups,expected_kn_eligible_layers,expected_kn_bad_groups,seconds
C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_1_resnet50.tv_in1k\epoch3.pt,2,4,0.45966903701036177,False,False,True,False,False,not_native_linear_2_4,1,0,1,2048000,512000,52,0,52,913673,53,512000,4.203232765197754
C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_2_resnet50d.ra2_in1k\epoch3.pt,2,4,0.45986190902787616,False,False,True,False,False,not_native_linear_2_4,1,0,1,2048000,512000,54,0,54,904895,55,512000,4.094022989273071
C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_3_resnet101d.ra2_in1k\epoch3.pt,2,4,0.47696055411012395,False,False,True,False,False,not_native_linear_2_4,1,0,1,2048000,512000,105,0,105,1700005,106,512000,8.122512817382812
C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_4_resnet152d.ra2_in1k\epoch3.pt,2,4,0.48294304473591254,False,False,True,False,False,not_native_linear_2_4,1,0,1,2048000,512000,156,0,156,2356907,157,512000,13.101595640182495
C:\Users\owner\Downloads\cast_results_2026_05_10\pod3_4resnet_8_16_chain\resnet50.tv_in1k\student_final.pt,8,16,0.45966327296271103,False,False,False,False,False,not_native_linear_2_4,1,0,1,2048000,512000,52,3704161,52,1755920,53,128000,5.314205169677734
C:\Users\owner\Downloads\cast_results_2026_05_10\pod3_4resnet_8_16_chain\resnet50d.ra2_in1k\student_final.pt,8,16,0.45986085111771735,False,False,False,False,False,not_native_linear_2_4,1,0,1,2048000,512000,54,3704198,54,1742537,55,128000,4.403880596160889
C:\Users\owner\Downloads\cast_results_2026_05_10\pod3_4resnet_8_16_chain\resnet101d.ra2_in1k\student_final.pt,8,16,0.4769593395876741,False,False,False,False,False,not_native_linear_2_4,1,0,1,2048000,512000,105,6710639,105,3182676,106,128000,9.099394798278809
C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\convnextv2_canonical\convnextv2_base.fcmae_ft_in22k_in1k_cast2e_2to4_tome_r0_post_ft.pt,2,4,0.47939988158605207,True,True,False,False,False,native_linear_2_4_candidate_with_skipped_shapes,73,72,1,1024000,0,4,689664,3,688128,77,689664,10.35327410697937
C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\convnextv2_d1216\convnextv2_base.fcmae_ft_in22k_in1k_cast2e_d1216_tome_r0_post_ft.pt,12,16,0.0,False,False,False,False,False,not_native_linear_2_4,73,72,1,1024000,21194752,4,689664,3,688128,77,5471104,6.009322166442871
C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\convnextv2_d816\convnextv2_base.fcmae_ft_in22k_in1k_cast2e_d816_tome_r0_post_ft.pt,8,16,0.0,False,False,False,False,False,not_native_linear_2_4,73,72,1,1024000,21194752,4,689664,3,688128,77,5471104,6.252241373062134
