file,gpu_label,gpu_name,torch,row_id,kind,endpoint,batch,dense_autocast_ips,dense_bf16_ips,sparse_ips,speedup_vs_dense_autocast,speedup_vs_dense_bf16,error,native_conv_ips,dense_im2col_ips,sparse_im2col_ips,speedup_vs_dense_im2col,speedup_vs_native_conv,equiv_max_abs_diff,equiv_mean_abs_diff
data\runpod_a40_deploy_audit_20260512\linear_sweep_a40_b64.json,A40,NVIDIA A40,2.4.1+cu124,vitb_cast_24_tome,linear_2_4,linear_native_2_4,64,1191.8034783491407,1602.7849905517437,1654.543676723073,1.388268877193503,1.032292969098439,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_sweep_a40_b64.json,A40,NVIDIA A40,2.4.1+cu124,vitl_cast_24_tome,linear_2_4,linear_native_2_4,64,620.8190813579647,816.5759920598899,865.5668703837908,1.3942336767266732,1.0599954919080057,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_sweep_a40_b64.json,A40,NVIDIA A40,2.4.1+cu124,deitb_cast_24_tome,linear_2_4,linear_native_2_4,64,1189.5588748195603,1590.4433191101862,1646.686176298075,1.3842830406757753,1.035363006346781,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_sweep_a40_b64.json,A40,NVIDIA A40,2.4.1+cu124,deits_cast_24_tome,linear_2_4,linear_native_2_4,64,2532.8367213570136,3464.868422350189,3446.1813266394843,1.360601454322381,0.9946066939829047,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_sweep_a40_b64.json,A40,NVIDIA A40,2.4.1+cu124,deitt_cast_24_tome,linear_2_4,linear_native_2_4,64,4056.6922515836154,4802.693447032161,3962.259474350238,0.9767217300754049,0.825007783246863,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_sweep_a40_b64.json,A40,NVIDIA A40,2.4.1+cu124,convnextv2_cast_24,linear_2_4,linear_native_2_4,64,499.2899858663797,797.4851946405425,646.5245101773794,1.2948877976302988,0.8107040914644102,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_full_a40_b128_with_dense_bf16.json,A40,NVIDIA A40,2.4.1+cu124,vitb_magnitude_24_tome,linear_2_4,,,,,,,,FileNotFoundError('C:\\Users\\owner\\Downloads\\cast_2e_resnet_review\\github_archive\\pod1_complete\\best_pod1_ckpts\\ckpts\\vitb\\D24_dense_perm.pt'),,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_full_a40_b128_with_dense_bf16.json,A40,NVIDIA A40,2.4.1+cu124,vitb_cast_24_tome,linear_2_4,linear_native_2_4,128,1246.8787371228932,1657.5130353220502,1695.8249553546498,1.3600560382220297,1.0231140987830336,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_full_a40_b128_with_dense_bf16.json,A40,NVIDIA A40,2.4.1+cu124,vitl_cast_24_tome,linear_2_4,linear_native_2_4,128,658.2805800783091,858.389636341059,897.2307282246263,1.3629913373988516,1.0452487894065565,,,,,,,,
data\runpod_a40_deploy_audit_20260512\linear_full_a40_b128_with_dense_bf16.json,A40,NVIDIA A40,2.4.1+cu124,deitb_cast_24_tome,linear_2_4,linear_native_2_4,128,1238.750026719133,1650.4462428680504,1689.2965756716735,1.363710627030884,1.0235392900383784,,,,,,,,
