row_id,architecture,method,top1_pct,delta_pp,dense_macs_paper,mac_reduction_pct,theoretical_mac_speedup_x,best_a40_deploy_speedup_x,checkpoint_exists_local,checkpoint_status,tensor_weight_sparsity,native_linear_2_4_convertible_exact,conv_flat_2_4_exact,conv_tensorrt_2_4_exact,deployability_class,checkpoint_path
vitb_magnitude_24_tome,ViT-B/16,Magnitude 2:4 + ToMe,82.92,-2.19,17.56G,59.81,2.488,,True,stage-1/pre-FT 2:4 artifact located; final post-FT magnitude checkpoint not located locally,0.4966,True,False,,native_2_4_pattern_audited_but_final_checkpoint_missing,C:\Users\owner\Downloads\cast_2e_resnet_review\github_archive\pod1_complete\best_pod1_ckpts\ckpts\vitb\D24_dense_perm.pt
vitb_cast_24_tome,ViT-B/16,CAST 2:4 + ToMe,83.41,-1.7,17.56G,59.81,2.488,1.365,True,final post-FT checkpoint located,0.4966,True,False,,native_linear_2_4_measured,C:\Users\owner\v11_pod_debug\cast_canonical_local\vit_base_canonical_cast_20260504T170942Z\ft_phase\checkpoints\vit_base_patch16_224.augreg2_in21k_ft_in1k_cast2e_2to4_tome_r8_post_ft.pt
vitb_cast_612,ViT-B/16,CAST 6:12 SER+alpha=0.5 (no ToMe),83.74,-1.37,17.56G,50.0,2.0,,True,final post-FT checkpoint located,0.4966,False,False,,structured_mac_accounting_only_not_native_2_4,C:\Users\owner\Downloads\cast_results_2026_05_10\pod1_vitb_ft_D612_ser_a05\student_final.pt
vitl_cast_24_tome,ViT-L/16,CAST 2:4 + ToMe,84.37,-1.47,61.55G,60.0,2.5,1.366,True,final post-FT checkpoint located,0.4987,True,False,,native_linear_2_4_measured,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\vitl_canonical\vit_large_patch16_224.augreg_in21k_ft_in1k_cast2e_2to4_tome_r8_post_ft.pt
vitl_cast_816,ViT-L/16,CAST 8:16 dense+perm (no ToMe),85.33,-0.51,61.55G,50.0,2.0,,True,epoch-2 checkpoint located; final_eval reports epoch-3 top-1 but final post-FT weights are unavailable locally,0.4987,False,False,,structured_mac_accounting_only_final_checkpoint_missing,C:\Users\owner\Downloads\cast_results_2026_05_10\pod1_vitl_d816_dense\student_ep2.pt
deitb_cast_24_tome,DeiT-B,CAST 2:4 + ToMe,80.48,-1.32,17.56G,59.81,2.488,1.365,True,final post-FT checkpoint located,0.4966,True,False,,native_linear_2_4_measured,C:\Users\owner\v11_pod_debug\cast_canonical_local\deit_base_cast_20260505T065522Z\ft_phase\checkpoints\deit_base_patch16_224.fb_in1k_cast2e_2to4_tome_r8_post_ft.pt
deits_cast_24_tome,DeiT-S,CAST 2:4 + ToMe,76.96,-2.89,4.61G,59.81,2.488,1.376,True,final post-FT checkpoint located,0.4933,True,False,,native_linear_2_4_measured,C:\Users\owner\v11_pod_debug\cast_canonical_local\deit_small_cast_20260505T032704Z\ft_phase\checkpoints\deit_small_patch16_224.fb_in1k_cast2e_2to4_tome_r8_post_ft.pt
deitt_cast_24_tome,DeiT-T,CAST 2:4 + ToMe,65.93,-6.28,1.26G,59.81,2.488,1.332,True,final post-FT checkpoint located,0.4869,True,False,,native_linear_2_4_measured_but_slower,C:\Users\owner\v11_pod_debug\cast_canonical_local\deit_tiny_cast_20260505T003151Z\ft_phase\checkpoints\deit_tiny_patch16_224_cast2e_2to4_tome_r8_post_ft.pt
resnet50_cast_conv,ResNet50,CAST-conv,73.14,-2.99,4.09G,48.5,1.942,,False,paper validation number located in logs; final checkpoint not located locally,,,,,conv_structured_mac_accounting_only_checkpoint_missing,
resnet50_cast_conv_perm,ResNet50,CAST-conv+perm,75.67,-0.46,4.09G,48.5,1.942,1.7,True,final post-FT checkpoint located,0.4597,False,True,False,conv_structured_mac_accounting_only_not_native_sparse_kernel,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_1_resnet50.tv_in1k\epoch3.pt
