path,expected_k,expected_n,sparsity_over_weight_tensors,linear_native_2_4_exact,linear_native_2_4_convertible_exact,conv_flat_2_4_exact,expected_kn_exact,native_deployability_interpretation,linear_native_2_4_eligible_layers,linear_native_2_4_convertible_layers,linear_native_2_4_unsupported_shape_layers,linear_native_2_4_unsupported_shape_params,linear_native_2_4_bad_groups,conv_flat_2_4_eligible_layers,conv_flat_2_4_bad_groups,expected_kn_eligible_layers,expected_kn_bad_groups,seconds
C:\Users\owner\Downloads\cast_2e_resnet_review\github_archive\pod1_complete\best_pod1_ckpts\ckpts\vitb\D24_dense_perm.pt,2,4,0.4965824136703453,True,True,False,False,native_linear_2_4_candidate_with_skipped_shapes,49,48,1,768000,0,1,147456,50,147456,13.214138984680176
C:\Users\owner\v11_pod_debug\cast_canonical_local\vit_base_canonical_cast_20260504T170942Z\ft_phase\checkpoints\vit_base_patch16_224.augreg2_in21k_ft_in1k_cast2e_2to4_tome_r8_post_ft.pt,2,4,0.4965824136703453,True,True,False,False,native_linear_2_4_candidate_with_skipped_shapes,49,48,1,768000,0,1,147456,50,147456,10.678681373596191
C:\Users\owner\Downloads\cast_results_2026_05_10\pod1_vitb_ft_D612_ser_a05\student_final.pt,6,12,0.4965824136703453,False,False,False,False,not_native_linear_2_4,49,48,1,768000,12112485,1,147456,50,49152,7.229277610778809
C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\vitl_canonical\vit_large_patch16_224.augreg_in21k_ft_in1k_cast2e_2to4_tome_r8_post_ft.pt,2,4,0.49870567614938655,True,True,False,False,native_linear_2_4_candidate_with_skipped_shapes,97,96,1,1024000,0,1,196608,98,196608,57.59316372871399
C:\Users\owner\Downloads\cast_results_2026_05_10\pod1_vitl_d816_dense\student_ep2.pt,8,16,0.49870567614938655,False,False,False,False,not_native_linear_2_4,97,96,1,1024000,45612540,1,196608,98,49152,48.142518520355225
C:\Users\owner\v11_pod_debug\cast_canonical_local\deit_base_cast_20260505T065522Z\ft_phase\checkpoints\deit_base_patch16_224.fb_in1k_cast2e_2to4_tome_r8_post_ft.pt,2,4,0.4965824136703453,True,True,False,False,native_linear_2_4_candidate_with_skipped_shapes,49,48,1,768000,0,1,147456,50,147456,20.19888138771057
C:\Users\owner\v11_pod_debug\cast_canonical_local\deit_small_cast_20260505T032704Z\ft_phase\checkpoints\deit_small_patch16_224.fb_in1k_cast2e_2to4_tome_r8_post_ft.pt,2,4,0.49327071358474694,True,True,False,False,native_linear_2_4_candidate_with_skipped_shapes,49,48,1,384000,0,1,73728,50,73728,6.283618688583374
C:\Users\owner\v11_pod_debug\cast_canonical_local\deit_tiny_cast_20260505T003151Z\ft_phase\checkpoints\deit_tiny_patch16_224_cast2e_2to4_tome_r8_post_ft.pt,2,4,0.4869458797933097,True,True,False,False,native_linear_2_4_candidate_with_skipped_shapes,49,48,1,192000,0,1,36864,50,36864,1.5841014385223389
C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_1_resnet50.tv_in1k\epoch3.pt,2,4,0.45966903701036177,False,False,True,False,not_native_linear_2_4,1,0,1,2048000,512000,52,0,53,512000,6.5871076583862305
C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_2_resnet50d.ra2_in1k\epoch3.pt,2,4,0.45986190902787616,False,False,True,False,not_native_linear_2_4,1,0,1,2048000,512000,54,0,55,512000,6.2729315757751465
