row_id,architecture,source_s,method,top1_pct,delta_pp,dense_macs,mac_reduction_pct,theoretical_mac_speedup_x,paper_speedup_current,measured_native_incremental_speedup_x,dense_ips,sparse_ips,converted_layers,skipped_layers,a40_backend_audit_available,a40_backend_kind,a40_dense_endpoint,a40_sparse_endpoint,a40_dense_ips,a40_sparse_ips,a40_deploy_speedup_x,a40_native_conv_ips,a40_end_to_end_vs_native_conv_x,a40_converted_layers,a40_equiv_max_abs_diff,a40_equiv_mean_abs_diff,deployability_class,recommended_table_speedup,checkpoint_exists,checkpoint_status,tensor_audit_available,weight_sparsity,linear_native_2_4_convertible_exact,conv_flat_2_4_exact,conv_tensorrt_2_4_exact,conv_tensorrt_2_4_eligible_layers,conv_tensorrt_2_4_bad_groups,native_deployability_interpretation,notes,checkpoint_path,result_json
vitb_magnitude_24_tome,ViT-B/16,0.35,Magnitude 2:4 + ToMe,82.92,-2.19,17.56G,59.81,2.488,1.84x meas.,,,,,0,False,,,,,,,,,,,,native_2_4_pattern_audited_but_final_checkpoint_missing,do not assign row-specific measured speed unless final checkpoint is found; same backend path as ViT-B CAST,True,stage-1/pre-FT 2:4 artifact located; final post-FT magnitude checkpoint not located locally,True,0.4966,True,False,,,,native_linear_2_4_candidate_with_skipped_shapes,"The located artifact has exact native Linear 2:4 on convertible layers, but it is not the final 82.92% post-FT checkpoint.",C:\Users\owner\Downloads\cast_2e_resnet_review\github_archive\pod1_complete\best_pod1_ckpts\ckpts\vitb\D24_dense_perm.pt,
vitb_cast_24_tome,ViT-B/16,0.35,CAST 2:4 + ToMe,83.41,-1.7,17.56G,59.81,2.488,1.84x meas.,1.419,589.5,836.3,48,1,True,linear_native_2_4,dense_tensor_autocast_bf16,native_linear_2_4_sparse_bfloat16,1246.1,1700.4,1.365,,,48,,,native_linear_2_4_measured,1.419x native incr.; 1.84x composed with ToMe,True,final post-FT checkpoint located,True,0.4966,True,False,,,,native_linear_2_4_candidate_with_skipped_shapes,A100 dense-to-2:4 no-ToMe benchmark also reports 2.705x for the same model family and native sparse path.,C:\Users\owner\v11_pod_debug\cast_canonical_local\vit_base_canonical_cast_20260504T170942Z\ft_phase\checkpoints\vit_base_patch16_224.augreg2_in21k_ft_in1k_cast2e_2to4_tome_r8_post_ft.pt,C:\Users\owner\v11_pod_debug\cast_canonical_local\vit_base_canonical_cast_20260504T170942Z\ft_phase\results.json
vitb_cast_612,ViT-B/16,0.35,CAST 6:12 SER+alpha=0.5 (no ToMe),83.74,-1.37,17.56G,50.0,2.0,2.00x theor.,,,,,0,False,,,,,,,,,,,,structured_mac_accounting_only_not_native_2_4,2.00x theoretical MAC only; no native measured sparse-kernel speedup,True,final post-FT checkpoint located,True,0.4966,False,False,,,,not_native_linear_2_4,6:12 is not accepted by the tested PyTorch/NVIDIA 2:4 sparse Tensor Core path.,C:\Users\owner\Downloads\cast_results_2026_05_10\pod1_vitb_ft_D612_ser_a05\student_final.pt,
vitl_cast_24_tome,ViT-L/16,0.35,CAST 2:4 + ToMe,84.37,-1.47,61.55G,60.0,2.5,1.55x meas.,1.193,1248.7,1489.9,96,1,True,linear_native_2_4,dense_tensor_autocast_bf16,native_linear_2_4_sparse_bfloat16,659.2,900.6,1.366,,,96,,,native_linear_2_4_measured,1.193x native incr.; 1.55x composed with ToMe,True,final post-FT checkpoint located,True,0.4987,True,False,,,,native_linear_2_4_candidate_with_skipped_shapes,Native sparse conversion reports 96 converted Linear layers and one skipped classifier head.,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\vitl_canonical\vit_large_patch16_224.augreg_in21k_ft_in1k_cast2e_2to4_tome_r8_post_ft.pt,C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\vitl_canonical\results.json
vitl_cast_816,ViT-L/16,dense,CAST 8:16 dense+perm (no ToMe),85.33,-0.51,61.55G,50.0,2.0,2.00x theor.,,,,,0,False,,,,,,,,,,,,structured_mac_accounting_only_final_checkpoint_missing,2.00x theoretical MAC only; no native measured sparse-kernel speedup,True,epoch-2 checkpoint located; final_eval reports epoch-3 top-1 but final post-FT weights are unavailable locally,True,0.4987,False,False,,,,not_native_linear_2_4,8:16 is not accepted by the tested PyTorch/NVIDIA 2:4 path.,C:\Users\owner\Downloads\cast_results_2026_05_10\pod1_vitl_d816_dense\student_ep2.pt,
deitb_cast_24_tome,DeiT-B,0.35,CAST 2:4 + ToMe,80.48,-1.32,17.56G,59.81,2.488,2.49x theor.,1.425,589.6,840.2,48,1,True,linear_native_2_4,dense_tensor_autocast_bf16,native_linear_2_4_sparse_bfloat16,1239.6,1691.5,1.365,,,48,,,native_linear_2_4_measured,1.425x native incr.; avoid replacing with 2.49x as measured,True,final post-FT checkpoint located,True,0.4966,True,False,,,,native_linear_2_4_candidate_with_skipped_shapes,Measured speedup holds ToMe fixed and changes dense Linear weights to native 2:4 sparse tensors.,C:\Users\owner\v11_pod_debug\cast_canonical_local\deit_base_cast_20260505T065522Z\ft_phase\checkpoints\deit_base_patch16_224.fb_in1k_cast2e_2to4_tome_r8_post_ft.pt,C:\Users\owner\v11_pod_debug\cast_canonical_local\deit_base_cast_20260505T065522Z\ft_phase\results.json
deits_cast_24_tome,DeiT-S,0.35,CAST 2:4 + ToMe,76.96,-2.89,4.61G,59.81,2.488,2.49x theor.,1.28,1436.9,1839.4,48,1,True,linear_native_2_4,dense_tensor_autocast_bf16,native_linear_2_4_sparse_bfloat16,2708.5,3725.8,1.376,,,48,,,native_linear_2_4_measured,1.280x native incr.; avoid replacing with 2.49x as measured,True,final post-FT checkpoint located,True,0.4933,True,False,,,,native_linear_2_4_candidate_with_skipped_shapes,Measured speedup holds ToMe fixed and changes dense Linear weights to native 2:4 sparse tensors.,C:\Users\owner\v11_pod_debug\cast_canonical_local\deit_small_cast_20260505T032704Z\ft_phase\checkpoints\deit_small_patch16_224.fb_in1k_cast2e_2to4_tome_r8_post_ft.pt,C:\Users\owner\v11_pod_debug\cast_canonical_local\deit_small_cast_20260505T032704Z\ft_phase\results.json
deitt_cast_24_tome,DeiT-T,0.35,CAST 2:4 + ToMe,65.93,-6.28,1.26G,59.81,2.488,2.49x theor.,0.566,3381.7,1915.1,48,1,True,linear_native_2_4,dense_tensor_autocast_bf16,native_linear_2_4_sparse_bfloat16,5150.5,6862.2,1.332,,,48,,,native_linear_2_4_measured_but_slower,0.566x native incr. (slowdown); do not call this a measured speedup,True,final post-FT checkpoint located,True,0.4869,True,False,,,,native_linear_2_4_candidate_with_skipped_shapes,Sparse backend overhead dominates this small model in the archived benchmark.,C:\Users\owner\v11_pod_debug\cast_canonical_local\deit_tiny_cast_20260505T003151Z\ft_phase\checkpoints\deit_tiny_patch16_224_cast2e_2to4_tome_r8_post_ft.pt,C:\Users\owner\v11_pod_debug\cast_canonical_local\deit_tiny_cast_20260505T003151Z\ft_phase\results.json
resnet50_cast_conv,ResNet50,0.35,CAST-conv,73.14,-2.99,4.09G,48.5,1.942,1.94x theor.,,,,,0,False,,,,,,,,,,,,conv_structured_mac_accounting_only_checkpoint_missing,1.94x theoretical MAC only; no native sparse Conv2d speedup,False,paper validation number located in logs; final checkpoint not located locally,False,,,,,,,,No standard PyTorch/NVIDIA 2:4 sparse Conv2d path was benchmarked for this row.,,
resnet50_cast_conv_perm,ResNet50,0.35,CAST-conv+perm,75.67,-0.46,4.09G,48.5,1.942,1.94x theor.,,,,,0,True,conv_exact_im2col_2_4,im2col_dense_linear_bfloat16,im2col_native_2_4_sparse_bfloat16,469.5,797.9,1.7,1824.4,0.437,52,0.005866,0.000942,conv_structured_mac_accounting_only_not_native_sparse_kernel,1.94x theoretical MAC only; no native sparse Conv2d speedup,True,final post-FT checkpoint located,True,0.4597,False,True,False,52,913673,not_native_linear_2_4,"Checkpoint has exact flattened Conv2d 2:4, but the tested native sparse path converts Linear layers, not Conv2d kernels.",C:\Users\owner\Downloads\cast_2e_resnet_review\checkpoints_for_drive\4resnet_2_4_cert_1_resnet50.tv_in1k\epoch3.pt,
