row_id,kind,error,gpu,torch,architecture,dense_endpoint,sparse_endpoint,dense_ips,sparse_ips,deploy_speedup_x,converted_layers,batch,warmup,iters,native_conv_ips,end_to_end_vs_native_conv_x,equiv_max_abs_diff,equiv_mean_abs_diff,equiv_lowered_layers
vitb_magnitude_24_tome,linear_2_4,FileNotFoundError('C:\\Users\\owner\\Downloads\\cast_2e_resnet_review\\github_archive\\pod1_complete\\best_pod1_ckpts\\ckpts\\vitb\\D24_dense_perm.pt'),NVIDIA A40,2.4.1+cu124,,,,,,,,,,,,,,,
vitb_cast_24_tome,linear_native_2_4,,NVIDIA A40,2.4.1+cu124,ViT-B/16,dense_tensor_autocast_bf16,native_linear_2_4_sparse_bfloat16,1246.0517631030382,1700.4275795119813,1.3646524405032843,48,128,20,100,,,,,
vitl_cast_24_tome,linear_native_2_4,,NVIDIA A40,2.4.1+cu124,ViT-L/16,dense_tensor_autocast_bf16,native_linear_2_4_sparse_bfloat16,659.1965496689385,900.6025053572732,1.3662124078312812,96,128,20,100,,,,,
deitb_cast_24_tome,linear_native_2_4,,NVIDIA A40,2.4.1+cu124,DeiT-B,dense_tensor_autocast_bf16,native_linear_2_4_sparse_bfloat16,1239.607449149097,1691.535439590645,1.364573471022431,48,128,20,100,,,,,
deits_cast_24_tome,linear_native_2_4,,NVIDIA A40,2.4.1+cu124,DeiT-S,dense_tensor_autocast_bf16,native_linear_2_4_sparse_bfloat16,2708.4664113806753,3725.844904180984,1.375628986398132,48,128,20,100,,,,,
deitt_cast_24_tome,linear_native_2_4,,NVIDIA A40,2.4.1+cu124,DeiT-T,dense_tensor_autocast_bf16,native_linear_2_4_sparse_bfloat16,5150.544024389017,6862.152253193267,1.332316007920598,48,128,20,100,,,,,
convnextv2_cast_24,linear_native_2_4,,NVIDIA A40,2.4.1+cu124,ConvNeXtV2-Base,dense_tensor_autocast_bf16,native_linear_2_4_sparse_bfloat16,512.3008798349739,644.0882048187174,1.2572459470032449,72,128,20,100,,,,,
resnet50_cast_conv_perm,conv_exact_im2col_2_4,,NVIDIA A40,2.4.1+cu124,ResNet50,im2col_dense_linear_bfloat16,im2col_native_2_4_sparse_bfloat16,469.4555085754765,797.9280106698491,1.6996882475425519,52,128,10,30,1824.37647460015,0.4373702587042686,0.005865573883056641,0.0009423462324775755,52
resnet50d_cast_conv_perm,conv_exact_im2col_2_4,,NVIDIA A40,2.4.1+cu124,ResNet50d,im2col_dense_linear_bfloat16,im2col_native_2_4_sparse_bfloat16,445.186249815448,666.1859907619057,1.4964208598941975,52,128,10,30,1790.0259484804155,0.37216554951476694,0.00866079330444336,0.0012164326617494226,54
resnet101d_cast_conv_perm,conv_exact_im2col_2_4,,NVIDIA A40,2.4.1+cu124,ResNet101d,im2col_dense_linear_bfloat16,im2col_native_2_4_sparse_bfloat16,228.21874198449288,357.76801014711435,1.5676539404087335,103,128,10,30,937.9275706960026,0.38144524302833693,0.01594233512878418,0.0020946254953742027,105
resnet152d_cast_conv_perm,conv_exact_im2col_2_4,,NVIDIA A40,2.4.1+cu124,ResNet152d,im2col_dense_linear_bfloat16,im2col_native_2_4_sparse_bfloat16,159.94641687648738,258.6874187111812,1.617338004582765,154,128,10,30,670.4319385075931,0.38585187228256035,0.006002902984619141,0.0009073020773939788,156
